iter	RMSE
0	2.559887979
1	2.351167955
2	2.167705813
3	2.006563978
4	1.865930379
5	1.743752202
6	1.638022592
7	1.545577007
8	1.466081539
9	1.398908475
10	1.342552703
11	1.294257546
12	1.25464942
13	1.220493689
14	1.190233543
15	1.165022156
16	1.144294696
17	1.12794611
18	1.11329165
19	1.100620061
20	1.090397422
21	1.082435856
22	1.075300446
23	1.069373396
24	1.064264288
25	1.060232417
26	1.056642085
27	1.053425315
28	1.050895597
29	1.048396371
30	1.046258767
31	1.043914075
32	1.042351416
33	1.040754257
34	1.039391642
35	1.038344159
36	1.037341164
37	1.036282866
38	1.035113235
39	1.034113658
40	1.033343655
41	1.032457235
42	1.031561378
43	1.030993922
44	1.03041639
45	1.029666513
46	1.029071864
47	1.028300067
48	1.02781512
49	1.027016374
50	1.026391659
51	1.025858288
52	1.025294443
53	1.024759401
54	1.024198523
55	1.023646048
56	1.023345445
57	1.02291589
58	1.02241246
59	1.021943807
60	1.021480324
61	1.02095828
62	1.020470094
63	1.019924209
64	1.019561016
65	1.019097357
66	1.01863792
67	1.018322575
68	1.018018306
69	1.017486483
70	1.017094641
71	1.01680286
72	1.016348533
73	1.015926159
74	1.015375815
75	1.015071266
76	1.014695561
77	1.014469552
78	1.013891532
79	1.013494331
80	1.013197875
81	1.012809934
82	1.012498027
83	1.012282258
84	1.011856363
85	1.01138462
86	1.011190662
87	1.010904312
88	1.010626576
89	1.010295484
90	1.009992854
91	1.009561222
92	1.009557256
93	1.009402671
94	1.009200569
95	1.008959843
96	1.008750492
97	1.008484622
98	1.008123169
99	1.007784814
100	1.007574946
101	1.007222792
102	1.006785652
103	1.006520022
104	1.006376562
105	1.006112017
106	1.005808298
107	1.00555531
108	1.005424688
109	1.00507982
110	1.004851543
111	1.004594841
112	1.00441832
113	1.004070305
114	1.00386888
115	1.003691813
116	1.003480374
117	1.003424216
118	1.003170062
119	1.003037139
120	1.002696118
121	1.002507795
122	1.002235783
123	1.002101257
124	1.001885916
125	1.001582038
126	1.001484819
127	1.001329999
128	1.001125785
129	1.00079017
130	1.000563573
131	1.00034103
132	1.000123711
133	0.9998078268
134	0.9996463244
135	0.9993122756
136	0.9990878677
137	0.9989415003
138	0.9988529685
139	0.9987386466
140	0.9985346343
141	0.9982251548
142	0.9979203821
143	0.9976321709
144	0.9974172967
145	0.9971935251
146	0.9969178266
147	0.9966840266
148	0.996454936
149	0.9962144179
150	0.9960214304
151	0.9958613089
152	0.9956581983
153	0.9954507456
154	0.9952578829
155	0.9950249829
156	0.9949265119
157	0.9947736066
158	0.9947009637
159	0.9943859268
160	0.9942338535
161	0.9939468207
162	0.9937669747
163	0.9936295997
164	0.993312394
165	0.9930142162
166	0.9926888282
167	0.9926122479
168	0.9923092618
169	0.9921145369
170	0.9919644231
171	0.9917826192
172	0.9916016227
173	0.9913737266
174	0.9912120111
175	0.9909249526
176	0.9906195925
177	0.9904870626
178	0.9904001772
179	0.9900901092
180	0.9898783583
181	0.9896885706
182	0.9894639446
183	0.9892515608
184	0.9890788477
185	0.9888691119
186	0.9886692963
187	0.9886349938
188	0.98833554
189	0.9882160701
190	0.9879884909
191	0.98786501
192	0.9877610996
193	0.9874968091
194	0.9872201558
195	0.9870994062
196	0.9868705419
197	0.9866677886
198	0.986530898
199	0.9863808572
200	0.9861996533
201	0.9859228939
202	0.9856490944
203	0.9855111405
204	0.9853616169
205	0.9851940664
206	0.9850260189
207	0.9847566104
208	0.9846130534
209	0.9844844128
210	0.9843073852
211	0.9841726609
212	0.9839995062
213	0.9838242435
214	0.9835015649
215	0.9833064751
216	0.9830813902
217	0.9829543177
218	0.9828881816
219	0.9827670618
220	0.9827146334
221	0.9825085759
222	0.9823485703
223	0.982169652
224	0.9819916529
225	0.9818658187
226	0.981731007
227	0.9815689077
228	0.9815160579
229	0.9813838522
230	0.9812942856
231	0.9811664607
232	0.981033781
233	0.9808695183
234	0.9807443885
235	0.9806768465
236	0.9805620297
237	0.9803699123
238	0.9802100185
239	0.9798964518
240	0.9797799299
241	0.9796491989
242	0.9794855817
243	0.9793821365
244	0.9792365778
245	0.9791342154
246	0.9788712745
247	0.9787438917
248	0.9786171528
249	0.9785042893
250	0.9783540203
251	0.9781542791
252	0.9779266886
253	0.9778924987
254	0.9777892236
255	0.9776649903
256	0.9775193723
257	0.9774195296
258	0.9773161764
259	0.9771345768
260	0.9769925982
261	0.9767898713
262	0.9765310012
263	0.9763170541
264	0.9760742636
265	0.9759685744
266	0.9757483194
267	0.9756653448
268	0.9754993792
269	0.975362857
270	0.9752745793
271	0.9750751909
272	0.9749636938
273	0.974810553
274	0.974732521
275	0.9745949695
276	0.9744831869
