iter	Passed	Remaining
0	154	154189
1	169	84622
2	181	60306
3	194	48391
4	207	41268
5	225	37316
6	234	33323
7	255	31739
8	269	29653
9	280	27757
10	307	27679
11	325	26813
12	336	25517
13	349	24590
14	362	23810
15	375	23066
16	385	22310
17	396	21621
18	407	21046
19	418	20491
20	427	19936
21	437	19433
22	447	18990
23	456	18567
24	465	18172
25	475	17818
26	485	17490
27	495	17214
28	506	16948
29	515	16669
30	525	16422
31	536	16214
32	545	15994
33	555	15779
34	565	15592
35	575	15420
36	585	15231
37	595	15081
38	605	14915
39	614	14751
40	624	14605
41	634	14463
42	644	14335
43	653	14203
44	664	14103
45	675	14002
46	686	13914
47	697	13837
48	708	13745
49	718	13645
50	728	13551
51	739	13479
52	749	13399
53	760	13318
54	770	13237
55	780	13157
56	790	13076
57	801	13009
58	811	12941
59	821	12867
60	831	12792
61	841	12729
62	851	12665
63	862	12611
64	871	12536
65	880	12466
66	890	12402
67	900	12336
68	909	12277
69	933	12397
70	947	12392
71	960	12383
72	972	12355
73	983	12306
74	993	12252
75	1003	12196
76	1013	12146
77	1036	12256
78	1047	12206
79	1057	12157
80	1067	12116
81	1077	12059
82	1085	11998
83	1095	11944
84	1105	11896
85	1115	11857
86	1125	11809
87	1134	11758
88	1145	11721
89	1155	11680
90	1164	11635
91	1174	11594
92	1180	11510
93	1189	11466
94	1199	11425
95	1208	11384
96	1218	11341
97	1228	11306
98	1238	11269
99	1248	11235
100	1257	11196
101	1267	11159
102	1277	11126
103	1287	11089
104	1296	11052
105	1306	11019
106	1315	10982
107	1326	10954
108	1335	10919
109	1345	10886
110	1355	10856
111	1366	10832
112	1375	10799
113	1385	10768
114	1395	10738
115	1429	10894
116	1450	10943
117	1468	10975
118	1484	10989
119	1496	10970
120	1506	10946
121	1517	10917
122	1527	10892
123	1538	10869
124	1549	10843
125	1559	10818
126	1569	10786
127	1578	10753
128	1589	10731
129	1599	10703
130	1609	10679
131	1619	10652
132	1630	10629
133	1640	10603
134	1651	10579
135	1661	10556
136	1671	10531
137	1681	10503
138	1691	10477
139	1701	10451
140	1711	10427
141	1722	10406
142	1732	10384
143	1742	10360
144	1753	10338
145	1763	10316
146	1775	10302
147	1786	10283
148	1797	10264
149	1807	10242
150	1818	10225
151	1833	10228
152	1842	10201
153	1852	10177
154	1864	10164
155	1874	10139
156	1883	10112
157	1892	10087
158	1901	10060
159	1911	10036
160	1921	10014
161	1931	9993
162	1941	9971
163	1952	9951
164	1962	9932
165	1972	9911
166	1982	9890
167	1992	9866
168	2001	9842
169	2011	9820
170	2062	9997
171	2085	10040
172	2108	10080
173	2126	10096
174	2141	10094
175	2155	10089
176	2165	10070
177	2174	10043
178	2184	10017
179	2194	9995
180	2203	9969
181	2212	9946
182	2222	9921
183	2231	9897
184	2241	9873
185	2250	9849
186	2259	9824
187	2269	9801
188	2280	9785
189	2290	9763
190	2299	9741
191	2309	9719
192	2318	9695
193	2349	9760
194	2368	9775
195	2382	9773
196	2394	9760
197	2404	9738
198	2413	9714
199	2422	9689
200	2436	9684
201	2448	9671
202	2459	9655
203	2489	9715
204	2510	9734
205	2526	9736
206	2540	9732
207	2553	9722
208	2565	9708
209	2575	9690
210	2586	9671
211	2596	9649
212	2605	9627
213	2615	9605
214	2625	9585
215	2635	9565
216	2646	9548
217	2669	9577
218	2684	9573
219	2697	9563
220	2709	9550
221	2720	9532
222	2729	9510
223	2738	9486
224	2747	9464
225	2757	9443
226	2767	9423
227	2776	9401
228	2785	9379
229	2794	9355
230	2803	9334
231	2813	9312
232	2822	9290
233	2831	9269
234	2840	9248
235	2850	9226
236	2859	9206
237	2869	9187
238	2878	9166
239	2888	9147
240	2898	9127
241	2907	9106
242	2916	9086
243	2926	9066
244	2935	9045
245	2944	9024
246	2954	9007
247	2964	8989
248	2974	8970
249	2983	8951
250	2993	8933
251	3003	8915
252	3013	8898
253	3023	8879
254	3033	8862
255	3043	8844
256	3052	8824
257	3062	8806
258	3071	8787
259	3081	8769
260	3091	8752
261	3100	8733
262	3110	8717
263	3121	8701
264	3131	8685
265	3140	8666
266	3157	8668
267	3168	8655
268	3178	8636
269	3187	8618
270	3196	8599
271	3206	8582
272	3216	8564
273	3226	8549
274	3235	8530
275	3245	8512
276	3254	8494
277	3264	8477
278	3274	8461
279	3284	8444
280	3294	8428
281	3304	8412
282	3314	8397
283	3323	8379
284	3333	8362
285	3343	8346
286	3352	8328
287	3362	8312
288	3371	8294
289	3381	8278
290	3391	8263
291	3401	8247
292	3413	8236
293	3423	8220
294	3432	8203
295	3443	8189
296	3453	8175
297	3463	8160
298	3473	8143
299	3482	8126
300	3492	8111
301	3502	8094
302	3511	8078
303	3521	8062
304	3530	8045
305	3540	8029
306	3549	8013
307	3559	7997
308	3569	7982
309	3578	7965
310	3588	7949
311	3598	7934
312	3607	7918
313	3618	7905
314	3628	7889
315	3638	7875
316	3648	7860
317	3658	7845
318	3686	7869
319	3702	7868
320	3716	7861
321	3726	7847
322	3737	7833
323	3747	7818
324	3757	7804
325	3767	7790
326	3777	7773
327	3787	7759
328	3796	7742
329	3805	7726
330	3815	7712
331	3825	7696
332	3834	7680
333	3844	7665
334	3867	7677
335	3880	7668
336	3892	7658
337	3903	7644
338	3913	7630
339	3922	7614
340	3932	7600
341	3942	7584
342	3952	7570
343	3961	7554
344	3970	7538
345	3980	7523
346	3989	7507
347	3999	7493
348	4008	7476
349	4018	7463
350	4027	7447
351	4037	7432
352	4047	7417
353	4056	7403
354	4066	7387
355	4075	7372
356	4086	7359
357	4095	7345
358	4104	7329
359	4114	7315
360	4124	7300
361	4134	7287
362	4144	7273
363	4155	7261
364	4171	7257
365	4182	7244
366	4192	7230
367	4202	7217
368	4212	7203
369	4221	7187
370	4231	7173
371	4240	7159
372	4250	7144
373	4259	7129
374	4269	7115
375	4279	7101
